Specified Values,Specified Attribute Names,productivity_class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0.0, [-4.699999999999999,12.7], 5.0, 4.0, [1998.36,2015.64], [3.7769499999999994,43.72305], 3.0, [2.1,7.9], 0.0, [23.958399999999997,48.6816], [-2.670000000000001,13.77], [50.82,75.18], 2.0, [40.25,65.75], [-0.7277500000000003,6.94775], [-2.756450000000001,14.77645], [1.8720500000000007,7.00795], [4.3267999999999995,7.6132], 1.0","quarter, country, region, industry, company_founding_year, ai_adoption_rate, ai_adoption_stage, years_using_ai, ai_use_case, ai_training_hours, ai_budget_percentage, regulatory_compliance_score, data_privacy_level, ai_risk_management_score, time_saved_per_week, revenue_growth_percent, cost_reduction_percent, customer_satisfaction, survey_source",1.0,1.0,1.0,1,1.4,4494,494,0.475,0.000679934239454195,5,5
"1.0, 0.0, 2.0, [1.6999999999999997,8.3], 3.0, 3.0, [5.869999999999999,16.130000000000003], [-7.256900000000005,41.4169], [11.332799999999999,18.3472], [0.30185,0.60215], [81.85,102.15], [43.055,62.945], [23.892999999999997,64.92699999999999], [4.6455,6.9345], [3.0992499999999996,12.58075], [-92.96999999999997,828.97], [-431.845,903.845], [5.653500000000001,10.9665], [3.7388,5.7612000000000005], 2.0","region, company_size, ai_adoption_stage, years_using_ai, ai_primary_tool, num_ai_tools_used, ai_projects_active, ai_training_hours, ai_budget_percentage, ai_maturity_score, regulatory_compliance_score, ai_risk_management_score, remote_work_percentage, employee_satisfaction_score, time_saved_per_week, jobs_created, reskilled_employees, cost_reduction_percent, customer_satisfaction, data_collection_method",2.0,1.0,1.0,1,1.6,4566,566,0.5,0.0007770677022333657,5,5
"[24.23,31.77], 3.0, 1.0, [-3748.8150000000005,4304.8150000000005], [1987.28,2008.72], [22.40545,54.81455], 2.0, 3.0, [8.822,20.878], [-44451.820800000016,398702.02080000006], [29.413000000000004,89.987], [-5.0207000000000015,27.840700000000002], [0.7814999999999994,11.9185], [-536.67,552.67], [-2.0275000000000003,6.827500000000001], [3.7832,6.8168]","country, region, company_size, num_employees, company_founding_year, ai_adoption_rate, ai_adoption_stage, ai_primary_tool, ai_budget_percentage, ai_investment_per_employee, remote_work_percentage, task_automation_rate, time_saved_per_week, jobs_displaced, cost_reduction_percent, customer_satisfaction",1.0,1.0,1.0,1,1.4,4579,579,0.4,0.000679934239454195,5,5
"2.0, 2.0, [-6020.620000000001,7336.620000000001], [1990.44,2003.56], 1.0, 1.0, [17.04305,40.17695], 2.0, [36.7,67.3], [-1.5840000000000032,60.944], [4.074249999999999,5.54575], [11.987250000000001,34.39275], [-612.52,652.52], [-402.22999999999996,460.22999999999996], [-3.2997,5.339700000000001], [-0.9662000000000002,6.8262], [52.28,63.72], [2.62,7.36]","quarter, region, num_employees, company_founding_year, company_age_group, num_ai_tools_used, ai_failure_rate, data_privacy_level, ai_risk_management_score, remote_work_percentage, employee_satisfaction_score, task_automation_rate, jobs_displaced, jobs_created, revenue_growth_percent, cost_reduction_percent, innovation_score, customer_satisfaction",1.0,1.0,1.0,1,1.4,4604,604,0.45,0.000679934239454195,5,5
"1.0, 2.0, 1.0, 0.0, 2.0, 6.0, [6.58,13.42], [7.4024,14.197600000000001], [0.2965,0.5275], [15.167,38.693], [40600.40040000001,499303.4996], 2.0, 0.0, [53.37,66.63], [9.5441,30.4559], [4.03275,11.40725], [-347.185,373.185], 3.0","region, industry, company_size, company_age_group, ai_adoption_stage, ai_use_case, ai_projects_active, ai_budget_percentage, ai_maturity_score, ai_failure_rate, ai_investment_per_employee, data_privacy_level, ai_ethics_committee, ai_risk_management_score, task_automation_rate, time_saved_per_week, jobs_displaced, data_collection_method",2.0,1.0,1.0,1,1.4,4635,635,0.45,0.000679934239454195,5,5
"2.0, 3.0, [8466.744999999999,19663.255], [2006.2,2015.8], [0.22499999999999964,25.775], 3.0, [47.0223,78.6777], 2.0, 1.0, [6.43,19.57], [43.0906,72.4494], [8.613999999999999,16.286], [0.38044999999999995,0.86555], [56.57,95.43], [31.151500000000002,90.7485], [7.276249999999999,12.543750000000001], [655.88,1218.12], [8.933250000000001,17.82675], [51.78,74.22], 1.0, 2.0","quarter, region, num_employees, company_founding_year, company_age, company_age_group, ai_adoption_rate, ai_adoption_stage, ai_primary_tool, ai_projects_active, ai_training_hours, ai_budget_percentage, ai_maturity_score, regulatory_compliance_score, remote_work_percentage, time_saved_per_week, jobs_displaced, revenue_growth_percent, innovation_score, survey_source, data_collection_method",2.0,1.0,1.0,1,1.6,4648,648,0.525,0.0007770677022333657,5,5
"1.0, [18.705,39.295], 0.0, 1.0, [-3432.9953,3958.6353000000004], [1986.52,2003.48], [28.700799999999997,52.819199999999995], [5.050000000000001,10.95], [-8.119500000000006,42.099500000000006], [8.7022,22.8178], [-230181.0436,306268.3436], [56.59,73.41], [-0.3111999999999995,27.5712], [-1.2165000000000008,8.7165], [-468.175,498.175], [-1.4673500000000006,8.62735]","quarter, country, industry, company_size, annual_revenue_usd_millions, company_founding_year, ai_adoption_rate, years_using_ai, ai_training_hours, ai_failure_rate, ai_investment_per_employee, regulatory_compliance_score, task_automation_rate, time_saved_per_week, jobs_displaced, cost_reduction_percent",0.0,1.0,1.0,2,1.2,4659,659,0.4,0.0011656015533500486,5,5
"2023.0, 2.0, [-2807.3277000000003,3785.2077000000004], 3.0, [14.836950000000002,54.78305], 3.0, [2.05,5.95], [26.502200000000002,40.6178], [60.18,93.82], 2.0, [42.015,65.985], [30.639,75.581], [0.9772500000000002,5.6427499999999995], [-4.21675,4.676750000000001], [37.24,62.76], 3.0","survey_year, quarter, annual_revenue_usd_millions, company_age_group, ai_adoption_rate, ai_adoption_stage, years_using_ai, ai_failure_rate, regulatory_compliance_score, data_privacy_level, ai_risk_management_score, remote_work_percentage, time_saved_per_week, revenue_growth_percent, innovation_score, data_collection_method",1.0,1.0,1.0,1,1.6,4692,692,0.4,0.0007770677022333657,5,5
"1.0, [-2344.3100000000004,4334.31], [1993.24,2004.76], 0.0, 2.0, [9.149999999999999,20.85], [20.4105,70.62950000000001], [7.060799999999999,12.9792], [0.40745,0.7385499999999999], [8.584899999999998,32.8951], [57.53,82.47], 0.0, 1.0, [32.757999999999996,64.022], [6.0555,8.3445], [-124.31,262.31], [52.18,65.82], 0.0","company_size, num_employees, company_founding_year, ai_primary_tool, ai_use_case, ai_projects_active, ai_training_hours, ai_budget_percentage, ai_maturity_score, ai_failure_rate, regulatory_compliance_score, data_privacy_level, ai_ethics_committee, remote_work_percentage, employee_satisfaction_score, jobs_created, innovation_score, survey_source",2.0,1.0,1.0,1,1.6,4693,693,0.45,0.0007770677022333657,5,5
"2026.0, 3.0, [2.33,15.67], 2.0, 5.0, 0.0, [1185.7219999999998,5181.198], [2005.8,2020.2], [0.7499999999999982,25.25], 3.0, 2.0, 0.0, [29.6124,69.7876], [65.3,82.7], 2.0, 1.0, [3.55075,7.52925], [16.1404,40.0396], [-398.1650000000001,814.1650000000001], [-0.19875000000000043,18.85875], [59.5,70.5], 1.0","survey_year, quarter, country, region, industry, company_size, annual_revenue_usd_millions, company_founding_year, company_age, company_age_group, ai_adoption_stage, ai_primary_tool, ai_training_hours, regulatory_compliance_score, data_privacy_level, ai_ethics_committee, employee_satisfaction_score, task_automation_rate, jobs_displaced, revenue_growth_percent, innovation_score, survey_source",2.0,1.0,1.0,1,1.4,4695,695,0.55,0.000679934239454195,5,5
"2024.0, [-3.9300000000000006,5.930000000000001], 2.0, [-3446.7815000000005,3545.301500000001], [10.65,25.35], 1.0, [-13.313750000000002,43.213750000000005], [0.04999999999999982,3.95], 3.0, 1.0, 6.0, [-2.6900000000000004,4.69], [-0.01300000000000004,0.29500000000000004], [16.6149,40.9251], [21098.005999999994,293210.014], [71.46,86.54], 1.0, [-8.3875,16.5075], [-327.14,327.14], [-851.1750000000001,851.1750000000001], [-2.1808500000000004,2.6008500000000003], [26.8,53.2], [2.790399999999999,6.3296], 1.0","survey_year, country, company_size, annual_revenue_usd_millions, company_age, company_age_group, ai_adoption_rate, years_using_ai, ai_primary_tool, num_ai_tools_used, ai_use_case, ai_projects_active, ai_maturity_score, ai_failure_rate, ai_investment_per_employee, regulatory_compliance_score, ai_ethics_committee, task_automation_rate, jobs_created, reskilled_employees, cost_reduction_percent, innovation_score, customer_satisfaction, data_collection_method",0.0,1.0,1.0,1,1.2,4720,720,0.6,0.0005828007766750243,5,5
"2024.0, 4.0, 6.0, 0.0, [25.365299999999994,72.0947], [1.55,4.45], 5.0, 3.0, 0.0, [0.38980000000000004,0.6362], [25.761,78.519], [5.8135,7.6665], [10.51405,40.88595], [-524.885,530.885], [-346.565,360.565], [-2.9449500000000004,6.96495], [3.7940000000000005,6.006], 0.0, 0.0","survey_year, region, industry, company_age_group, ai_adoption_rate, years_using_ai, ai_primary_tool, num_ai_tools_used, ai_use_case, ai_maturity_score, remote_work_percentage, employee_satisfaction_score, task_automation_rate, jobs_created, reskilled_employees, revenue_growth_percent, customer_satisfaction, survey_source, data_collection_method",1.0,1.0,1.0,1,1.8,4727,727,0.475,0.0008742011650125364,5,5
"2023.0, 2.0, 1.0, 2.0, [-3189.0950000000003,3293.0950000000003], [-1989.3880000000004,2006.0880000000002], [2011.76,2024.24], [-0.6000000000000005,10.600000000000001], [1.0107999999999997,6.929200000000001], [-121904.53520000001,134658.2152], [62.11,85.89], 2.0, [34.68,67.32], [4.378,6.122], [1.236699999999999,28.1233], [3.1247499999999997,9.29525], [-438.25,440.25], [-849.1750000000001,853.1750000000001], [-9.167599999999998,9.1276], [3.9807499999999996,10.17925], [1.1840000000000002,4.976]","survey_year, quarter, region, company_size, num_employees, annual_revenue_usd_millions, company_founding_year, company_age, ai_budget_percentage, ai_investment_per_employee, regulatory_compliance_score, data_privacy_level, ai_risk_management_score, employee_satisfaction_score, task_automation_rate, time_saved_per_week, jobs_displaced, reskilled_employees, revenue_growth_percent, cost_reduction_percent, customer_satisfaction",1.0,1.0,1.0,1,1.6,4730,730,0.525,0.0007770677022333657,5,5
"0.0, [23.795,32.205], 3.0, 3.0, 0.0, [3583.5949999999993,16744.405], [23.125,38.875], 3.0, [0.10000000000000009,5.9], 0.0, [1.7800000000000002,12.219999999999999], [3.6671999999999976,46.9328], [3.2927999999999993,10.3072], [0.04349999999999998,0.5825], [-183694.03,205037.41], 1.0, [30.713500000000003,59.0465], [3.7547499999999996,9.92525], [163.69,550.31], [-3.5284,8.6684], [3.1987499999999995,16.48125], 0.0","quarter, country, region, industry, company_size, num_employees, company_age, ai_adoption_stage, years_using_ai, ai_use_case, ai_projects_active, ai_training_hours, ai_budget_percentage, ai_maturity_score, ai_investment_per_employee, ai_ethics_committee, remote_work_percentage, time_saved_per_week, jobs_created, revenue_growth_percent, cost_reduction_percent, data_collection_method",1.0,1.0,1.0,1,1.4,4753,753,0.55,0.000679934239454195,5,5
"2026.0, [9.139999999999999,28.86], 1.0, 2.0, [-2436.375,2474.375], [-3303.6811500000003,3388.7411500000007], [1991.96,2006.04], [3.6,8.4], 0.0, 3.0, [0.5899999999999999,9.41], [17.911300000000004,55.7687], [0.21079999999999988,11.609200000000001], [0.10424999999999998,0.52775], [12.58245,24.73755], [12.046,55.034], [4.49,6.67], [-1.4449999999999998,7.584999999999999], [-622.735,624.735], [-626.56,630.56], [-1.8087500000000007,17.24875], [2.6756,4.8244], 1.0","survey_year, country, industry, company_size, num_employees, annual_revenue_usd_millions, company_founding_year, years_using_ai, ai_primary_tool, ai_use_case, ai_projects_active, ai_training_hours, ai_budget_percentage, ai_maturity_score, ai_failure_rate, remote_work_percentage, employee_satisfaction_score, time_saved_per_week, jobs_displaced, reskilled_employees, revenue_growth_percent, customer_satisfaction, survey_source",0.0,1.0,1.0,1,1.2,4837,837,0.575,0.0005828007766750243,5,5
"2026.0, [17.375,24.625], 1.0, 4.0, 0.0, [2016.72,2027.28], 0.0, [14.951049999999999,65.44895000000001], 2.0, [-2.15,4.15], 2.0, [-3.3399,53.0599], [0.11259999999999998,0.6053999999999999], [-96227.55400000002,175884.45400000003], [26.469,51.871], [12.2304,36.129599999999996], [297.59999999999997,1000.4000000000001], [-458.17500000000007,1244.1750000000002], [5.846699999999999,13.993300000000001], [4.1536,5.986400000000001]","survey_year, country, region, industry, company_size, company_founding_year, company_age_group, ai_adoption_rate, ai_adoption_stage, years_using_ai, ai_primary_tool, ai_training_hours, ai_maturity_score, ai_investment_per_employee, remote_work_percentage, task_automation_rate, jobs_displaced, reskilled_employees, cost_reduction_percent, customer_satisfaction",1.0,1.0,1.0,2,1.6,4884,884,0.5,0.0015541354044667315,5,5
"2024.0, 0.0, 3.0, [-3239.0299999999997,5011.03], [-3282.1784000000002,3909.6784000000002], 1.0, [41.5908,65.7092], [1.2499999999999998,4.75], 1.0, [7.04,14.96], [23.408699999999996,62.8113], [0.23119999999999996,0.7548], [-132725.5492,201583.4892], 0.0, 0.0, [-880.125,1084.125], [-1.55625,4.796250000000001], [40.9,65.1], [5.1464,8.0536]","survey_year, quarter, industry, num_employees, annual_revenue_usd_millions, company_age_group, ai_adoption_rate, years_using_ai, ai_use_case, ai_projects_active, ai_training_hours, ai_maturity_score, ai_investment_per_employee, data_privacy_level, ai_ethics_committee, reskilled_employees, revenue_growth_percent, innovation_score, customer_satisfaction",2.0,1.0,1.0,1,1.4,4908,908,0.475,0.000679934239454195,5,5
"1.0, 5.0, 6.0, 2.0, [-2587.8050000000003,2715.8050000000003], [6.4,11.6], 3.0, [10.923599999999997,32.5564], [-89823.20520000001,166739.5452], [49.86,88.14], [44.578500000000005,82.6815], [4.0265,6.5335], [10.040349999999997,43.39965], [-549.455,557.455], [-6.6925,6.0125], [59.98,78.02], 3.0","quarter, region, industry, company_size, num_employees, years_using_ai, ai_primary_tool, ai_training_hours, ai_investment_per_employee, regulatory_compliance_score, remote_work_percentage, employee_satisfaction_score, task_automation_rate, jobs_displaced, revenue_growth_percent, innovation_score, survey_source",0.0,1.0,1.0,2,1.0,4910,910,0.425,0.0009713346277917071,5,5
"2026.0, 0.0, [19.17,34.83], [33.6571,59.2829], 1.0, [25.3799,46.240100000000005], [4.557199999999999,19.4628], [15.290600000000001,26.2694], [-135261.69240000003,222371.2324], [50.035,71.965], [28.943,69.977], [13.1183,36.0217], [4.394500000000001,13.7255], [-452.8950000000001,620.8950000000001], [-0.5002000000000004,10.6802], [57.64,74.36], 2.0","survey_year, quarter, country, ai_adoption_rate, ai_primary_tool, ai_training_hours, ai_budget_percentage, ai_failure_rate, ai_investment_per_employee, ai_risk_management_score, remote_work_percentage, task_automation_rate, time_saved_per_week, reskilled_employees, revenue_growth_percent, innovation_score, data_collection_method",1.0,1.0,1.0,1,1.2,4950,950,0.425,0.0005828007766750243,5,5
"1.0, [18.23,25.77], 0.0, 6.0, 1.0, [-1686.3680000000004,2309.108], [1997.96,2012.04], [8.924999999999999,33.075], [29.101350000000004,50.95865], 0.0, 2.0, [-3.76,7.76], [3.4448,11.5552], [-0.011250000000000038,0.48925], [21.3327,31.5273], [-238162.9212,329384.98120000004], 0.0, [50.035,71.965], [17.522499999999997,71.25750000000001], [0.6687499999999993,10.45125], [-264.69,332.69], [-2.1025,10.6025], [-1.2530000000000001,9.373], [53.28,64.72]","quarter, country, region, industry, company_size, annual_revenue_usd_millions, company_founding_year, company_age, ai_adoption_rate, ai_primary_tool, num_ai_tools_used, ai_projects_active, ai_budget_percentage, ai_maturity_score, ai_failure_rate, ai_investment_per_employee, ai_ethics_committee, ai_risk_management_score, remote_work_percentage, time_saved_per_week, jobs_displaced, revenue_growth_percent, cost_reduction_percent, innovation_score",1.0,1.0,1.0,1,2.0,4961,961,0.6,0.0009713346277917071,5,5
"2023.0, 0.0, [13.749999999999998,38.25], 1.0, 7.0, [0.6392000000000007,16.6408], [15.022549999999999,42.07745], [-149728.93800000002,200129.358], [50.605000000000004,65.395], [0.6595000000000013,71.9805], [5.0815,6.4985], [-0.39280000000000115,31.4728], [-576.8100000000001,582.8100000000001], [-832.08,844.08], [-2.282350000000001,14.742350000000002], [31.42,48.58], 0.0","survey_year, quarter, company_age, company_age_group, ai_use_case, ai_budget_percentage, ai_failure_rate, ai_investment_per_employee, ai_risk_management_score, remote_work_percentage, employee_satisfaction_score, task_automation_rate, jobs_displaced, reskilled_employees, revenue_growth_percent, innovation_score, survey_source",0.0,1.0,1.0,1,1.2,4972,972,0.425,0.0005828007766750243,5,5
"2025.0, [-7.99,9.99], 4.0, [2013.28,2026.72], 2.0, 2.0, [0.32055,0.7594500000000001], [37.66,64.34], 1.0, [4.6935,6.5465], [-346.81000000000006,812.8100000000001], [172.86,827.14], [1027.245,1786.755], [-1.2017000000000007,17.6017], [-6.3812500000000005,6.90125], [72.2,89.8], 1.0, 2.0","survey_year, country, industry, company_founding_year, ai_adoption_stage, ai_use_case, ai_maturity_score, regulatory_compliance_score, ai_ethics_committee, employee_satisfaction_score, jobs_displaced, jobs_created, reskilled_employees, revenue_growth_percent, cost_reduction_percent, innovation_score, survey_source, data_collection_method",2.0,1.0,1.0,2,1.0,4021,1021,0.45,0.0009713346277917071,3,3
